category,mean,median,min,max,sd
Animal Host,0.0030061942905527583,0.0024331957442101353,6.9266326632533e-4,0.008249661863154789,0.0024819806168169508
Freshwater,0.0036872651812025307,0.00288958107714976,6.8941994819393e-4,0.00930909574247563,0.0028637572621555097
Groundwater,0.00412117884793438,0.003322081918519405,6.985783627920184e-4,0.008338956038927495,0.0030539005126981734
Human Host,0.0028896720087927155,0.002382079170777207,6.145327853439e-4,0.008375415061135979,0.002401467522004869
Plant Host,0.0037658759095481925,0.0030115489710464396,7.512131024131e-4,0.00882831791793137,0.002821402512212548
Saline Water,0.003604173062120603,0.002568313776362465,7.5928709128569e-4,0.008884463100331249,0.002950918803571837
Sediment,0.00347773242348764,0.002779195881909237,8.220182107285801e-4,0.009407320271237455,0.00283512999419321
Soil,0.0034863524839767227,0.00246607869660123,8.133122077951567e-4,0.008499139207508225,0.0028730032180627773
Wastewater,0.004646913021988189,0.003116956500652415,0.0013496081905716752,0.0095990685391178,0.003275093821122856
