"OTU","Freq","pos"
"Acidobacteriota",10,1
"Actinomycetota",7,1
"Aquificota",5,1
"Armatimonadota",5,1
"Atribacterota",5,1
"Bacillota",3,1
"candidate division CPR1",1,1
"Bacteroidota",2,2
"Balneolota",1,2
"Bdellovibrionota",1,2
"Calditrichota",1,2
"candidate division CPR2",1,2
"Candidatus Cloacimonetes",1,2
"Candidatus Daviesbacteria",1,2
"Candidatus Nanohaloarchaeota",1,2
"Campylobacterota",2,3
"candidate division CPR3",2,3
"Candidatus Dadabacteria",1,3
"Candidatus Eisenbacteria",1,3
"Euryarchaeota",1,3
"candidate division NC10",3,4
"Caldisericota",2,4
"Candidatus Gracilibacteria",2,4
"candidate division WOR-3",1,4
"Candidatus Altiarchaeota",1,4
"Coprothermobacterota",1,4
"candidate division WWE3",3,5
"Candidatus Bipolaricaulota",2,5
"Candidatus Rokubacteria",2,5
"candidate division Zixibacteria",1,5
"Chloroflexota",1,5
"Candidatus Absconditabacteria",3,6
"Candidatus Adlerbacteria",2,6
"Candidatus Abawacabacteria",1,6
"Candidatus Calescamantes",1,6
"Candidatus Lindowbacteria",1,6
"Candidatus Taylorbacteria",1,6
"Ignavibacteriota",1,6
"Candidatus Aenigmarchaeota",4,7
"Candidatus Amesbacteria",1,7
"Candidatus Moranbacteria",1,7
"Candidatus Woesebacteria",1,7
"Nitrospirota",1,7
"Candidatus Aminicenantes",3,8
"Gemmatimonadota",2,8
"Candidatus Doudnabacteria",1,8
"Candidatus Heimdallarchaeota",1,8
"Candidatus Hydrogenedentes",1,8
"Candidatus Lloydbacteria",1,8
"Candidatus Sumerlaeota",1,8
"Synergistota",1,8
"Candidatus Bathyarchaeota",2,9
"Myxococcota",2,9
"Candidatus Andersenbacteria",1,9
"Candidatus Azambacteria",1,9
"Candidatus Huberarchaea",1,9
"Candidatus Thermoplasmatota",1,9
"Thermotogota",1,9
